Xpos;Ypos
50;535;
64,4;370,154;
78,8;287,135;
93,2;327,154;
107,6;470,345;
122;645,63;
136,4;766;
150,8;771,703;
165,2;659,911;
179,6;486,113;
194;336,583;
208,4;285,545;
222,8;358,333;
237,2;518,817;
251,6;687,334;
266;780,234;
280,4;751,403;
294,8;615,152;
309,2;439,114;
323,6;310,673;
338;293,586;
352,4;396,333;
366,8;567,913;
381,2;723,156;
395,6;785;
410;722,747;
424,4;567,299;
438,8;395,817;
453,2;293,425;
467,6;310,948;
482;439,688;
496,4;615,739;
510,8;751,713;
525,2;780,113;
539,6;686,841;
554;518,198;
568,4;357,894;
582,8;285,504;
597,2;336,961;
611,6;486,722;
626;660,448;
640,4;771,902;
654,8;765,762;
669,2;645,073;
683,6;469,747;
698;326,81;
712,4;287,217;
726,8;370,621;
741,2;535,621;
755,6;700,312;
770;782,945;
784,4;742,501;
798,8;599,056;
813,2;423,814;
827,6;303,764;
842;298,497;
856,4;410,628;
870,8;584,495;
885,2;733,793;
899,6;784,414;
914;711,227;
928,4;550,564;
942,8;382,175;
957,2;289,646;
971,6;318,908;
986;455,436;
1Â000,4;631,458;
1Â014,8;759,6;
1Â029,2;776,252;
1Â043,6;673,15;
1Â058;501,472;
1Â072,4;346,437;
1Â086,8;285,002;
1Â101,2;347,664;
1Â115,6;503,316;
1Â130;674,697;
1Â144,4;776,734;
1Â158,8;758,777;
1Â173,2;629,739;
1Â187,6;453,674;
1Â202;317,978;
1Â216,4;290,01;
1Â230,8;383,653;
1Â245,2;552,42;
1Â259,6;712,542;
1Â274;784,534;
1Â288,4;732,66;
1Â302,8;582,669;
1Â317,2;409,017;
1Â331,6;297,9;
1Â346;304,478;
1Â360,4;425,485;
1Â374,8;600,854;
1Â389,2;743,532;
1Â403,6;782,7;
1Â418;698,911;
1Â432,4;533,759;
1Â446,8;369,223;
1Â461,2;286,977;
1Â475,6;327,846;
